Kanji,Level,HanViet,On_Kana,On_Romaji,Kun_Kana,Kun_Romaji,Examples
雪,2,Tuyết,セツ,setsu,ゆき,yuki,雪 (ゆき) [yuki]: Snow; 新雪 (しんせつ) [shinsetsu]: New snow
船,2,Thuyền,セン,sen,"ふね, ふな-","fune, funa-",船 (ふね) [fune]: Ship; 船長 (せんちょう) [senchou]: Captain
線,2,Tuyến,セン,sen,,,線 (せん) [sen]: Line; 新幹線 (しんかんせん) [shinkansen]: Bullet train
前,5,Tiền,ゼン,zen,"まえ, -まえ","mae, -mae",前 (まえ) [mae]: Before/Front; 午前 (ごぜん) [gozen]: Morning (AM)
組,2,Tổ,ソ,so,"く.む, くみ, -ぐみ","kumu, kumi, -gumi",番組 (ばんぐみ) [bangumi]: TV Program; 組織 (そしき) [soshiki]: Organization
走,4,Tẩu,ソウ,sou,はし.る,hashiru,走る (はしる) [hashiru]: To run; 競走 (きょうそう) [kyousou]: Race
多,4,Đa,タ,ta,"おお.い, まさ.に, まさ.る","ooi, masani, masaru",多い (おおい) [ooi]: Many; 多分 (たぶん) [tabun]: Probably
太,4,Thái,"タイ, タ","tai, ta","ふと.い, ふと.る","futoi, futoru",太い (ふとい) [futoi]: Thick/Fat; 太陽 (たいよう) [taiyou]: Sun
体,4,Thể,"タイ, テイ","tai, tei","からだ, かたち","karada, katachi",体 (からだ) [karada]: Body; 体育 (たいいく) [taiiku]: P.E.
台,4,Đài,"ダイ, タイ","dai, tai",,,台風 (たいふう) [taifuu]: Typhoon; 台所 (だいどころ) [daidokoro]: Kitchen
地,4,Địa,"チ, ジ","chi, ji",,,地図 (ちず) [chizu]: Map; 地下鉄 (ちかてつ) [chikatetsu]: Subway
池,4,Trì,チ,chi,いけ,ike,池 (いけ) [ike]: Pond; 電池 (でんち) [denchi]: Battery
知,4,Tri,チ,chi,"し.る, し.らせる","shiru, shiraseru",知る (しる) [shiru]: To know; 知識 (ちしき) [chishiki]: Knowledge
茶,4,Trà,"チャ, サ","cha, sa",,,お茶 (おちゃ) [ocha]: Tea; 茶色 (ちゃいろ) [chairo]: Brown
昼,4,Trú,チュウ,chuu,ひる,hiru,昼 (ひる) [hiru]: Noon/Daytime; 昼寝 (ひるね) [hirune]: Nap
長,5,Trường,チョウ,chou,"なが.い, おさ","nagai, osa",長い (ながい) [nagai]: Long; 社長 (しゃちょう) [shachou]: Company president
鳥,4,Điểu,チョウ,chou,とり,tori,鳥 (とり) [tori]: Bird; 小鳥 (ことり) [kotori]: Small bird
朝,4,Triều,チョウ,chou,あさ,asa,朝 (あさ) [asa]: Morning; 朝食 (ちょうしょく) [choushoku]: Breakfast
直,3,Trực,"チョク, ジキ","choku, jiki","ただ.ちに, なお.す, -なお.す, なお.る, なお.き, す.ぐ","tadachini, naosu, -naosu, naoru, naoki, sugu",直す (なおす) [naosu]: To fix; 正直 (しょうじき) [shoujiki]: Honest
通,4,Thông,"ツウ, ツ","tsuu, tsu","とお.る, とお.り, -とお.り, -どお.り, とお.す, とお.し, -どお.し, かよ.う","tooru, toori, -toori, -doori, toosu, tooshi, -dooshi, kayou",通う (かよう) [kayou]: To commute; 交通 (こうつう) [koutsuu]: Traffic
弟,4,Đệ,"テイ, ダイ, デ","tei, dai, de",おとうと,otouto,弟 (おとうと) [otouto]: Younger brother; 兄弟 (きょうだい) [kyoudai]: Brothers
店,4,Điếm,テン,ten,みせ,mise,店 (みせ) [mise]: Shop; 店員 (てんいん) [tenin]: Shop assistant
点,3,Điểm,テン,ten,"つ.く, つ.ける, とも.る, ぼち","tsuku, tsukeru, tomoru, bochi",点 (てん) [ten]: Point/Dot; 交差点 (こうさてん) [kousaten]: Intersection
電,5,Điện,デン,den,,,電気 (でんき) [denki]: Electricity; 電話 (でんわ) [denwa]: Telephone
刀,2,Đao,トウ,tou,かたな,katana,刀 (かたな) [katana]: Sword; 日本刀 (にほんとう) [nihontou]: Japanese sword
冬,4,Đông,トウ,tou,ふゆ,fuyu,冬 (ふゆ) [fuyu]: Winter; 冬休み (ふゆやすみ) [fuyuyasumi]: Winter vacation
当,3,Đương,トウ,tou,"あ.たる, あ.たり, あ.てる, あ.て, まさ.に, まさ.しく","ataru, atari, ateru, ate, masani, masashiku",当たる (あたる) [ataru]: To hit/win; 本当 (ほんとう) [hontou]: Truth/Really
東,5,Đông,トウ,tou,ひがし,higashi,東 (ひがし) [higashi]: East; 東京 (とうきょう) [toukyou]: Tokyo
答,4,Đáp,トウ,tou,こた.える,kotaeru,答え (こたえ) [kotae]: Answer; 解答 (かいとう) [kaitou]: Solution
頭,4,Đầu,"トウ, ズ","tou, zu","あたま, かしら","atama, kashira",頭 (あたま) [atama]: Head; 頭痛 (ずつう) [zutuu]: Headache
同,4,Đồng,ドウ,dou,おな.じ,onaji,同じ (おなじ) [onaji]: Same; 同時 (どうじ) [douji]: Same time
道,4,Đạo,"ドウ, トウ","dou, tou",みち,michi,道 (みち) [michi]: Road; 道具 (どうぐ) [dougu]: Tool
読,4,Độc,"ドク, トク, トウ","doku, toku, tou",よ.む,yomu,読む (よむ) [yomu]: To read; 読書 (どくしょ) [dokusho]: Reading
南,5,Nam,"ナン, ナ","nan, na",みなみ,minami,南 (みなみ) [minami]: South; 南口 (みなみぐち) [minamiguchi]: South exit
肉,4,Nhục,ニク,niku,,,肉 (にく) [niku]: Meat; 牛肉 (ぎゅうにく) [gyuuniku]: Beef
馬,4,Mã,バ,ba,"うま, ま","uma, ma",馬 (うま) [uma]: Horse; 乗馬 (じょうば) [jouba]: Horse riding
売,4,Mại,バイ,bai,"う.る, う.れる","uru, ureru",売る (うる) [uru]: To sell; 売店 (ばいてん) [baiten]: Shop/Stand
買,4,Mãi,バイ,bai,か.う,kau,買う (かう) [kau]: To buy; 買い物 (かいもの) [kaimono]: Shopping
麦,2,Mạch,バク,baku,むぎ,mugi,麦 (むぎ) [mugi]: Wheat/Barley; 麦茶 (むぎちゃ) [mugicha]: Barley tea
半,5,Bán,ハン,han,なか.ば,nakaba,半分 (はんぶん) [hanbun]: Half; 半年 (はんとし) [hantoshi]: Half a year
番,4,Phiên,バン,ban,,,一番 (いちばん) [ichiban]: Number one; 交番 (こうばん) [kouban]: Police box
父,5,Phụ,フ,fu,ちち,chichi,父 (ちち) [chichi]: Father; お父さん (おとうさん) [otousan]: Father (polite)
風,4,Phong,"フウ, フ","fuu, fu","かぜ, かざ-","kaze, kaza-",風 (かぜ) [kaze]: Wind; 台風 (たいふう) [taifuu]: Typhoon
分,5,Phân,"ブン, フン, ブ","bun, fun, bu","わ.ける, わ.かる","wakeru, wakaru",自分 (じぶん) [jibun]: Oneself; 分かる (わかる) [wakaru]: To understand
聞,5,Văn,"ブン, モン","bun, mon","き.く, き.こえる","kiku, kikoeru",聞く (きく) [kiku]: To listen; 新聞 (しんぶん) [shinbun]: Newspaper
米,3,Mễ,"ベイ, マイ","bei, mai",こめ,kome,米 (こめ) [kome]: Rice; 米国 (べいこく) [beikoku]: USA
歩,4,Bộ,"ホ, ブ, フ","ho, bu, fu","ある.く, あゆ.む","aruku, ayumu",歩く (あるく) [aruku]: To walk; 散歩 (さんぽ) [sanpo]: Walk/Stroll
母,5,Mẫu,ボ,bo,はは,haha,母 (はは) [haha]: Mother; お母さん (おかあさん) [okaasan]: Mother (polite)
方,4,Phương,ホウ,hou,かた,kata,方 (かた) [kata]: Person/Way; 方法 (ほうほう) [houhou]: Method
北,5,Bắc,ホク,hoku,きた,kita,北 (きた) [kita]: North; 北海道 (ほっかいどう) [hokkaidou]: Hokkaido
妹,4,Muội,マイ,mai,いもうと,imouto,妹 (いもうと) [imouto]: Younger sister; 姉妹 (姉妹) [shimai]: Sisters
毎,5,Mỗi,マイ,mai,ごと,goto,毎日 (まいにち) [mainichi]: Every day; 毎朝 (まいあさ) [maiasa]: Every morning
万,5,Vạn,"マン, バン","man, ban",,,一万 (いちまん) [ichiman]: Ten thousand; 万歳 (ばんざい) [banzai]: Hurrah/Banzai
明,4,Minh,"メイ, ミョウ, ミン","mei, myou, min","あ.かり, あか.るい, あき.らか","akari, akarui, akiraka",明るい (あかるい) [akarui]: Bright; 明日 (あした) [ashita]: Tomorrow
鳴,3,Minh,メイ,mei,"な.く, な.る, な.らす","naku, naru, narasu",鳴く (なく) [naku]: To chirp/cry (animal); 悲鳴 (ひめい) [himei]: Scream
毛,3,Mao,モウ,mou,け,ke,毛 (け) [ke]: Hair/Fur; 毛布 (もうふ) [moufu]: Blanket
門,4,Môn,モン,mon,かど,kado,門 (もん) [mon]: Gate; 正門 (せいもん) [seimon]: Main gate
夜,4,Dạ,ヤ,ya,"よる, よ","yoru, yo",夜 (よる) [yoru]: Night; 今夜 (こんや) [konya]: Tonight
野,4,Dã,ヤ,ya,の,no,野菜 (やさい) [yasai]: Vegetable; 野球 (やきゅう) [yakyuu]: Baseball
友,5,Hữu,ユウ,yuu,とも,tomo,友達 (ともだち) [tomodachi]: Friend; 友人 (ゆうじん) [yuujin]: Friend (formal)
用,4,Dụng,ヨウ,you,もち.いる,mochiiru,使用 (しよう) [shiyou]: Use; 用事 (ようじ) [youji]: Errands/Business
曜,4,Diệu,ヨウ,you,,,日曜日 (にちようび) [nichiyoubi]: Sunday; 何曜日 (なんようび) [nanyoubi]: What day of the week
来,5,Lai,"ライ, タイ","rai, tai","く.る, きた.る, きた.す","kuru, kitaru, kitasu",来る (くる) [kuru]: To come; 来月 (らいげつ) [raigetsu]: Next month
里,2,Lý,リ,ri,さと,sato,里 (さと) [sato]: Village/Hometown; 里帰り (さとがえり) [satogaeri]: Returning home
理,4,Lý,リ,ri,,,理由 (りゆう) [riyuu]: Reason; 料理 (りょうり) [ryouri]: Cooking
話,5,Thoại,ワ,wa,"はな.す, はなし","hanasu, hanashi",話す (はなす) [hanasu]: To speak; 会話 (かいわ) [kaiwa]: Conversation
悪,4,Ác,"アク, オ","aku, o",わる.い,warui,悪い (わるい) [warui]: Bad; 最悪 (さいあく) [saiaku]: The worst
安,4,An,アン,an,"やす.い, やす.まる","yasui, yasumaru",安い (やすい) [yasui]: Cheap; 安全 (あんぜん) [anzen]: Safety
暗,4,Ám,アン,an,くら.い,kurai,暗い (くらい) [kurai]: Dark; 暗記 (あんき) [anki]: Memorization
医,4,Y,イ,i,い.やす,iyasu,医者 (いしゃ) [isha]: Doctor; 医学 (いがく) [igaku]: Medical science
委,3,Ủy,イ,i,ゆだ.ねる,yudaneru,委員 (いいん) [iin]: Committee member; 委任 (いにん) [inin]: Entrusting
意,4,Ý,イ,i,,,意味 (いみ) [imi]: Meaning; 意見 (いけん) [iken]: Opinion
育,3,Dục,イク,iku,"そだ.つ, そだ.てる, はぐく.む","sodatsu, sodateru, hagukumu",教育 (きょういく) [kyouiku]: Education; 体育 (たいいく) [taiiku]: P.E.
員,4,Viên,イン,in,,,社員 (しゃいん) [shain]: Company employee; 全員 (ぜんいん) [zenin]: Everyone
院,4,Viện,イン,in,,,病院 (びょういん) [byouin]: Hospital; 大学院 (だいがくいん) [daigakuin]: Graduate school
飲,4,Ẩm,"イン, オン","in, on",の.む,nomu,飲む (のむ) [nomu]: To drink; 飲み物 (のみもの) [nomimono]: Beverage
運,4,Vận,ウン,un,はこ.ぶ,hakobu,運転 (うんてん) [unten]: Driving; 運動 (うんどう) [undou]: Exercise
泳,4,Vịnh,エイ,ei,およ.ぐ,oyogu,泳ぐ (およぐ) [oyogu]: To swim; 水泳 (すいえい) [suiei]: Swimming
駅,4,Dịch,エキ,eki,,,駅 (えき) [eki]: Station; 駅前 (えきまえ) [ekimae]: In front of station
央,3,Ương,オウ,ou,,,中央 (ちゅうおう) [chuuou]: Center
横,3,Hoành,オウ,ou,"よこ, よこ.たわる","yoko, yokotawaru",横 (よこ) [yoko]: Side/Horizontal; 横断 (おうだん) [oudan]: Crossing
屋,4,Ốc,オク,oku,や,ya,部屋 (へや) [heya]: Room; 八百屋 (やおや) [yaoya]: Greengrocer
温,3,Ôn,オン,on,"あたた.か, あたた.かい, あたた.まる, あたた.める","atataka, atatakai, atatamaru, atatameru",温度 (おんど) [ondo]: Temperature; 温かい (あたたかい) [atatakai]: Warm
化,3,Hóa,"カ, ケ","ka, ke","ば.ける, ば.かす","bakeru, bakasu",化学 (かがく) [kagaku]: Chemistry; お化け (おばけ) [obake]: Ghost
荷,3,Hà,カ,ka,に,ni,荷物 (にもつ) [nimotsu]: Luggage; 入荷 (にゅうか) [nyuuka]: Arrival of goods
界,3,Giới,カイ,kai,,,世界 (せかい) [sekai]: World; 境界 (きょうかい) [kyoukai]: Boundary
開,4,Khai,カイ,kai,"あ.く, あ.ける, ひら.く, ひら.ける","aku, akeru, hiraku, hirakeru",開く (あく) [aku]: To open; 開店 (かいてん) [kaiten]: Opening shop
階,3,Giai,カイ,kai,,,階段 (かいだん) [kaidan]: Stairs; 三階 (さんがい) [sangai]: 3rd floor
寒,4,Hàn,カン,kan,さむ.い,samui,寒い (さむい) [samui]: Cold; 寒気 (さむけ) [samuke]: Chill
感,3,Cảm,カン,kan,,,感情 (かんじょう) [kanjou]: Emotion; 感動 (かんどう) [kandou]: Impression/Moving
漢,4,Hán,カン,kan,,,漢字 (かんじ) [kanji]: Chinese character; 漢方薬 (かんぽうやく) [kanpouyaku]: Herbal medicine
館,4,Quán,カン,kan,やかた,yakata,図書館 (としょかん) [toshokan]: Library; 映画館 (えいがかん) [eigakan]: Movie theater
岸,3,Ngạn,ガン,gan,きし,kishi,海岸 (かいがん) [kaigan]: Coast; 岸 (きし) [kishi]: Bank/Shore
起,4,Khởi,キ,ki,"お.きる, お.こす, お.こる, た.つ","okiru, okosu, okoru, tatsu",起きる (おきる) [okiru]: To wake up; 起立 (きりつ) [kiritsu]: Standing up
期,3,Kỳ,"キ, ゴ","ki, go",,,期間 (きかん) [kikan]: Period; 学期 (がっき) [gakki]: Semester
客,3,Khách,"キャク, カク","kyaku, kaku",,,お客さん (おきゃくさん) [okyakusan]: Guest/Customer; 乗客 (じょうきゃく) [joukyaku]: Passenger
究,4,Cứu,キュウ,kyuu,きわ.める,kiwameru,研究 (けんきゅう) [kenkyuu]: Research; 究明 (きゅうめい) [kyuumei]: Investigation
急,4,Cấp,キュウ,kyuu,"いそ.ぐ, せ.く","isogu, seku",急ぐ (いそぐ) [isogu]: To hurry; 急行 (きゅうこう) [kyuukou]: Express train
級,3,Cấp,キュウ,kyuu,,,初級 (しょきゅう) [shokyuu]: Elementary level; 学級 (がっきゅう) [gakkyuu]: Class
宮,3,Cung,"キュウ, ク, グウ","kyuu, ku, guu",みや,miya,神宮 (じんぐう) [jinguu]: Shinto shrine; 宮殿 (きゅうでん) [kyuuden]: Palace
球,3,Cầu,キュウ,kyuu,たま,tama,野球 (やきゅう) [yakyuu]: Baseball; 地球 (ちきゅう) [chikyuu]: Earth
去,4,Khứ,"キョ, コ","kyo, ko","さ.る, -さ.る","saru, -saru",去年 (きょねん) [kyonen]: Last year; 過去 (かこ) [kako]: Past
橋,3,Kiều,キョウ,kyou,はし,hashi,橋 (はし) [hashi]: Bridge; 歩道橋 (ほどうきょう) [hodoukyou]: Pedestrian bridge
業,4,Nghiệp,"ギョウ, ゴウ","gyou, gou",わざ,waza,授業 (じゅぎょう) [jugyou]: Class/Lesson; 卒業 (そつぎょう) [sotsugyou]: Graduation
曲,3,Khúc,キョク,kyoku,"ま.がる, ま.げる","magaru, mageru",曲がる (まがる) [magaru]: To turn; 作曲 (さっきょく) [sakkyoku]: Composition
局,3,Cục,キョク,kyoku,,,郵便局 (ゆうびんきょく) [yuubinkyoku]: Post office; 薬局 (やっきょく) [yakkyoku]: Pharmacy
銀,4,Ngân,ギン,gin,,,銀行 (ぎんこう) [ginkou]: Bank; 銀色 (ぎんいろ) [giniro]: Silver color
区,3,Khu,ク,ku,,,地区 (ちく) [chiku]: District; 区別 (くべつ) [kubetsu]: Distinction
苦,3,Khổ,ク,ku,"くる.しい, くる.しむ, くる.しめる, にが.い, にが.る","kurushii, kurushimu, kurushimeru, nigai, nigaru",苦しい (くるしい) [kurushii]: Painful; 苦い (にがい) [nigai]: Bitter
具,3,Cụ,グ,gu,そな.える,sonaeru,道具 (どうぐ) [dougu]: Tool; 家具 (かぐ) [kagu]: Furniture
君,3,Quân,クン,kun,"きみ, -ぎみ","kimi, -gimi",君 (きみ) [kimi]: You (informal); ～君 (～くん) [kun]: Mr./Master
係,3,Hệ,ケイ,kei,"かか.る, かかり, -がかり","kakaru, kakari, -gakari",関係 (かんけい) [kankei]: Relationship; 係の人 (かかりのひと) [kakarinohito]: Person in charge
軽,4,Khinh,ケイ,kei,"かる.い, かろ.やか, かろ.んじる","karui, karoyaka, karonjiru",軽い (かるい) [karui]: Light; 軽食 (けいしょく) [keishoku]: Snack
血,3,Huyết,ケツ,ketsu,ち,chi,血 (ち) [chi]: Blood; 出血 (しゅっけつ) [shukketsu]: Bleeding
決,3,Quyết,ケツ,ketsu,"き.める, -ぎ.め, き.まる","kimeru, -gime, kimaru",決める (きめる) [kimeru]: To decide; 解決 (かいけつ) [kaiketsu]: Solution
研,4,Nghiên,ケン,ken,と.ぐ,togu,研究 (けんきゅう) [kenkyuu]: Research; 研修 (けんしゅう) [kenshuu]: Training
県,3,Huyện,ケン,ken,,,県 (けん) [ken]: Prefecture; 県庁 (けんちょう) [kenchou]: Prefectural office
庫,3,Khố,"コ, ク","ko, ku",,,冷蔵庫 (れいぞうこ) [reizouko]: Refrigerator; 車庫 (しゃこ) [shako]: Garage
湖,3,Hồ,コ,ko,みずうみ,mizuumi,湖 (みずうみ) [mizuumi]: Lake; 白鳥湖 (はくちょうこ) [hakuchouko]: Swan Lake
向,3,Hướng,コウ,kou,"む.かう, む.かい, む.き, む.ける, む.く, む.こう","mukau, mukai, muki, mukeru, muku, mukou",向かう (むかう) [mukau]: To face/go towards; 方向 (ほうこう) [houkou]: Direction
幸,3,Hạnh,コウ,kou,"さいわ.い, さち, しあわ.せ","saiwai, sachi, shiawase",幸せ (しあわせ) [shiawase]: Happiness; 幸福 (こうふく) [koufuku]: Well-being
港,3,Cảng,コウ,kou,みなと,minato,港 (みなと) [minato]: Harbor; 空港 (くうこう) [kuukou]: Airport
号,3,Hiệu,ゴウ,gou,,,番号 (ばんごう) [bangou]: Number; 信号 (しんごう) [shingou]: Traffic light
根,3,Căn,コン,kon,ね,ne,根 (ね) [ne]: Root; 大根 (だいこん) [daikon]: Radish
祭,3,Tế,サイ,sai,"まつ.る, まつ.り","matsuru, matsuri",祭り (まつり) [matsuri]: Festival; 文化祭 (ぶんかさい) [bunkasai]: Cultural festival
皿,3,Mãnh,,,"さら, -ざら","sara, -zara",皿 (さら) [sara]: Plate; 灰皿 (はいざら) [haizara]: Ashtray
仕,3,Sĩ,"シ, ジ","shi, ji",つか.える,tsukaeru,仕事 (しごと) [shigoto]: Job; 仕方 (しかた) [shikata]: Way/Method
死,4,Tử,シ,shi,し.ぬ,shinu,死ぬ (しぬ) [shinu]: To die; 必死 (ひっし) [hisshi]: Desperate
使,4,Sử,シ,shi,つか.う,tsukau,使う (つかう) [tsukau]: To use; 大使館 (たいしかん) [taishikan]: Embassy
始,4,Thủy,シ,shi,"はじ.める, はじ.まる","hajimeru, hajimaru",始める (はじめる) [hajimeru]: To begin; 開始 (かいし) [kaishi]: Start
指,3,Chỉ,シ,shi,"ゆび, さ.す","yubi, sasu",指 (ゆび) [yubi]: Finger; 指定 (してい) [shitei]: Designation
歯,3,Xỉ,シ,shi,は,ha,歯 (は) [ha]: Tooth; 歯科 (しか) [shika]: Dentistry
詩,3,Thi,シ,shi,うた,uta,詩 (うた) [uta]: Poem; 詩人 (しじん) [shijin]: Poet
次,4,Thứ,"ジ, シ","ji, shi","つぎ, つ.ぐ","tsugi, tsugu",次 (つぎ) [tsugi]: Next; 目次 (もくじ) [mokuji]: Table of contents
事,4,Sự,"ジ, ズ","ji, zu","こと, つか.える","koto, tsukaeru",食事 (しょくじ) [shokuji]: Meal; 仕事 (しごと) [shigoto]: Job
持,4,Trì,ジ,ji,"も.つ, -も.ち, も.てる","motsu, -mochi, moteru",持つ (もつ) [motsu]: To hold/have; 金持ち (かねもち) [kanemochi]: Rich person
式,3,Thức,シキ,shiki,,,入学式 (にゅうがくしき) [nyuugakushiki]: Entrance ceremony; 形式 (けいしき) [keishiki]: Form
実,3,Thực,ジツ,jitsu,"み, みの.る","mi, minoru",事実 (じじつ) [jijitsu]: Fact; 実は (じつは) [jitsuwa]: Actually
写,4,Tả,シャ,sha,"うつ.す, うつ.る","utsusu, utsuru",写真 (しゃしん) [shashin]: Photograph; 写生 (しゃせい) [shasei]: Sketching
者,4,Giả,シャ,sha,もの,mono,医者 (いしゃ) [isha]: Doctor; 若者 (わかもの) [wakamono]: Young person
主,4,Chủ,"シュ, ス","shu, su","ぬし, おも","nushi, omo",主人 (しゅじん) [shujin]: Husband/Master; 主に (おもに) [omoni]: Mainly
取,3,Thủ,シュ,shu,と.る,toru,取る (とる) [toru]: To take; 受け取る (うけとる) [uketoru]: To receive
酒,3,Tửu,シュ,shu,"さけ, さか-","sake, saka-",お酒 (おさけ) [osake]: Alcohol; 日本酒 (にほんしゅ) [nihonshu]: Japanese sake
受,3,Thụ,ジュ,ju,"う.ける, -う.け","ukeru, -uke",受ける (うける) [ukeru]: To receive/take (test); 受付 (うけつけ) [uketsuke]: Reception
州,3,Châu,シュウ,shuu,す,su,本州 (ほんしゅう) [honshuu]: Honshu; 九州 (きゅうしゅう) [kyuushuu]: Kyushu
拾,3,Thập,"シュウ, ジュウ","shuu, juu",ひろ.う,hirou,"拾う (ひろう) [hirou]: To pick up; 拾万円 (じゅうまんえん) [juumanen]: 100,000 yen"
終,4,Chung,シュウ,shuu,"お.わる, -お.わる, お.わる, お.える, つい, つい.に","owaru, -owaru, owaru, oeru, tsui, tsuini",終わる (おわる) [owaru]: To end; 最終 (さいしゅう) [saishuu]: Last/Final
